# Easting/m Northing/m Label
7.260000000000000000e+04 6.960000000000000000e+04 1.000000000000000000e+00
1.800000000000000000e+04 5.000000000000000000e+04 2.000000000000000000e+00
4.690000000000000000e+04 4.310000000000000000e+04 3.000000000000000000e+00
3.190000000000000000e+04 3.450000000000000000e+04 4.000000000000000000e+00
9.500000000000000000e+04 4.100000000000000000e+04 5.000000000000000000e+00
1.500000000000000000e+05 6.500000000000000000e+04 6.000000000000000000e+00
1.120000000000000000e+05 6.980000000000000000e+04 7.000000000000000000e+00
